Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
2001,NA,NA,1,Control,0
2002,0.501,0.355,1,Control,0
2003,1,0,1,Control,0
2004,1,0,1,Control,0
2005,1,0,1,Control,0
2006,1,0,1,Control,0
2007,0.882,0.078,1,Control,0
2008,0.855,0.095,1,Control,0
2009,0.917,0.08,1,Control,0
2010,0.909,0.086,1,Control,0
2011,0.917,0.08,1,Control,0
2012,1,0,1,Control,0
2013,0.561,0.124,1,Control,0
2014,0.889,0.105,1,Control,0
2015,0.646,0.116,1,Control,0
2016,0.934,0.064,1,Control,0
2017,1,0,1,Control,1
2018,0.909,0.061,1,Control,1
2019,0.874,0.067,1,Control,1
2020,NA,NA,1,Control,1
